climber,ascent_date,suggested_grade,route,official_grade,parsed_dates,climbing_style,weight,date,year,official_grade_consistent
Ryan Palo,Oct 2020,,White Wedding,8b+,19-10-2020,Lead,worked,2020-10-19,2020.0,8b+
Fernando Martinez,17th Oct 1996,,White Zombie,8c,17-10-1996,Lead,worked,1996-10-17,1996.0,8c
Josune Bereziartu,9th May 1999,,White Zombie,8c,09-05-1999,Lead,worked,1999-09-05,1999.0,8c
Yuji Hirayama,Oct 2004,,White Zombie,8c,19-10-2004,Lead,onsight,2004-10-19,2004.0,8c
Tomáš Mrázek,2007,,White Zombie,8c,19-11-2007,Lead,worked,2007-11-19,2007.0,8c
Eva Lopez,5th Aug 2010,,White Zombie,8c,05-08-2010,Lead,worked,2010-05-08,2010.0,8c
Jorge Díaz-Rullo,2nd Sep 2020,,White Zombie,8c,02-09-2020,Lead,onsight,2020-02-09,2020.0,8c
Beat Kammelander,1997,,Wogü,8c,19-11-1997,Lead,worked,1997-11-19,1997.0,8c
Adam Ondra,26th Jul 2008,,Wogü,8c,26-07-2008,Lead,worked,2008-07-26,2008.0,8c
Eduard Marin,2016,,Wogü,8c,19-11-2016,Lead,worked,2016-11-19,2016.0,8c
Roland Hemetzberger,2017,,Wogü,8c,19-11-2017,Lead,worked,2017-11-19,2017.0,8c
Cédric Lachat,30th Jun 2020,,Wogü,8c,30-06-2020,Lead,worked,2020-06-30,2020.0,8c
Louna Ladevant,Oct 2023,,Wogü,8c,19-10-2023,Lead,worked,2023-10-19,2023.0,8c
Pete Livesey,Jul 1979,,Zero,e7,19-07-1979,Lead,worked,1979-07-19,1979.0,7c+
Andy Pollitt,1983,,Zero,e7,19-11-1983,Lead,worked,1983-11-19,1983.0,7c+
Jerry Moffatt,1983,,Zero,e7,19-11-1983,Lead,flash,1983-11-19,1983.0,7c+
Chris Gore,1983,,Zero,e7,19-11-1983,Lead,onsight,1983-11-19,1983.0,7c+
Pete Robins,2001,,Zero,e7,19-11-2001,Lead,onsight,2001-11-19,2001.0,7c+
James McHaffie,Before 1st Jan 2002,,Zero,e7,,Lead,onsight,,,7c+
Daniel Woods,Mar 2020,8C,4 Low,8c,19-03-2020,Boulder,worked,2020-03-19,2020.0,8c
Dave Graham,28th Feb 2022,,4 Low,8c,28-02-2022,Boulder,worked,2022-02-28,2022.0,8c
Martin Stráník,27th Jan 2023,8C (soft),4 Low,8c,27-01-2023,Boulder,worked,2023-01-27,2023.0,8c
Pietro Vidi,4th Jan 2024,8C,4 Low,8c,04-01-2024,Boulder,worked,2024-04-01,2024.0,8c
Giovanni Placci,24th Jan 2024,8C (soft),4 Low,8c,24-01-2024,Boulder,worked,2024-01-24,2024.0,8c
Mark Edwards,Aug 2007,E10,Academia,e8,19-08-2007,Lead,worked,2007-08-19,2007.0,8a+
Franco Cookson,15th Aug 2018,E8,Academia,e8,15-08-2018,Lead,worked,2018-08-15,2018.0,8a+
Alex Moore,27th Aug 2018,,Academia,e8,27-08-2018,Lead,worked,2018-08-27,2018.0,8a+
Tom Pearce,2nd Aug 2021,,Academia,e8,02-08-2021,Lead,worked,2021-02-08,2021.0,8a+
Anna Taylor,5th Feb 2022,E8,Academia,e8,05-02-2022,Solo,worked,2022-05-02,2022.0,8a+
James Litz,,,Ace Of Spades,9a+,,Lead,worked,,,9a+
Daniel Woods,18th Oct 2018,9a+ (soft),Ace Of Spades,9a+,18-10-2018,Lead,worked,2018-10-18,2018.0,9a+
Jonathan Siegrest,1st May 2021,9a+ (soft),Ace Of Spades,9a+,01-05-2021,Lead,worked,2021-01-05,2021.0,9a+
Ben Hanna,18th Oct 2022,,Ace Of Spades,9a+,18-10-2022,Lead,worked,2022-10-18,2022.0,9a+
Jack Street,1969,,Ajudicator Wall,e3,19-11-1969,Lead,,1969-11-19,1969.0,6b+
John Sheard,1972,,Ajudicator Wall,e3,19-11-1972,Lead,,1972-11-19,1972.0,6b+
Pete Livesey,1972,,Ajudicator Wall,e3,19-11-1972,Lead,,1972-11-19,1972.0,6b+
Alan Rouse,1972,,Ajudicator Wall,e3,19-11-1972,Lead,,1972-11-19,1972.0,6b+
Paul Braithwaite,1972,,Ajudicator Wall,e3,19-11-1972,Lead,,1972-11-19,1972.0,6b+
Jordan Buys,15th Aug 2014,,Aladdin,8c,15-08-2014,Lead,worked,2014-08-15,2014.0,8c
Ben Freeman,2018,,Aladdin,8c,19-11-2018,Lead,worked,2018-11-19,2018.0,8c
Jon Freeman,28th May 2020,,Aladdin,8c,28-05-2020,Lead,worked,2020-05-28,2020.0,8c
Luke Dawson,5th Sep 2020,,Aladdin,8c,05-09-2020,Lead,worked,2020-05-09,2020.0,8c
John Hartley,7th Sep 2024,,Aladdin,8c,07-09-2024,Lead,worked,2024-07-09,2024.0,8c
Ellis Butler-Barker,14th May 2018,,Ali Bomaye,8c,14-05-2018,Lead,worked,2018-05-14,2018.0,8c
Pete Dawson,28th Jun 2020,,Ali Bomaye,8c,28-06-2020,Lead,worked,2020-06-28,2020.0,8c
Tom Newberry,20th Apr 2021,,Ali Bomaye,8c,20-04-2021,Lead,worked,2021-04-20,2021.0,8c
Jamie Rankin,10th Sep 2022,,Ali Bomaye,8c,10-09-2022,Lead,worked,2022-10-09,2022.0,8c
Arlo Rogers,2nd Dec 2023,8c (soft),Ali Bomaye,8c,02-12-2023,Lead,worked,2023-02-12,2023.0,8c
Sam Whittaker,26th Oct 2003,,Appointment With Death,e9,26-10-2003,Lead,worked,2003-10-26,2003.0,8b
Nathan Lee,25th May 2013,,Appointment With Death,e9,25-05-2013,Lead,worked,2013-05-25,2013.0,8b
Jim Pope,24th Feb 2019,,Appointment With Death,e9,24-02-2019,Lead,worked,2019-02-24,2019.0,8b
Filip Babicz,11th May 2022,,Appointment With Death,e9,11-05-2022,Lead,worked,2022-11-05,2022.0,8b
Tom Randall,,,Appointment With Death,e9,,Lead,worked,,,8b
Simon Nadin,1985,,Art Nouveau,e6,19-11-1985,Solo,worked,1985-11-19,1985.0,7b+
Johnny Dawes,1986,,Art Nouveau,e6,19-11-1986,Solo,onsight,1986-11-19,1986.0,7b+
Adam Long,2001,,Art Nouveau,e6,19-11-2001,Solo,ground up,2001-11-19,2001.0,7b+
Pete Robins,2001,,Art Nouveau,e6,19-11-2001,Solo,ground up,2001-11-19,2001.0,7b+
Niall Grimes,,,Art Nouveau,e6,,Solo,ground up,,,7b+
John Bachar,May 1975,,Astroman,e5,19-05-1975,Lead,worked,1975-05-19,1975.0,7a+
Ron Kauk,May 1975,,Astroman,e5,19-05-1975,Lead,worked,1975-05-19,1975.0,7a+
John Long,May 1975,,Astroman,e5,19-05-1975,Lead,worked,1975-05-19,1975.0,7a+
Peter Croft,1987,,Astroman,e5,19-11-1987,Solo,worked,1987-11-19,1987.0,7a+
Alex Honnold,2007,,Astroman,e5,19-11-2007,Solo,worked,2007-11-19,2007.0,7a+
Jindrich Sustr,Aug 1981,,Attraverso Il Pesce,e6,19-08-1981,Alternate Leads,worked,1981-08-19,1981.0,7b+
Igor Koller,Aug 1981,,Attraverso Il Pesce,e6,19-08-1981,Alternate Leads,worked,1981-08-19,1981.0,7b+
Hansjörg Auer,29th Apr 2007,,Attraverso Il Pesce,e6,29-04-2007,Solo,worked,2007-04-29,2007.0,7b+
Ted Kingsnorth,Aug 2009,,Attraverso Il Pesce,e6,19-08-2009,Alternate Leads,onsight,2009-08-19,2009.0,7b+
Ben Heason,Aug 2009,,Attraverso Il Pesce,e6,19-08-2009,Alternate Leads,onsight,2009-08-19,2009.0,7b+
Dai Koyamada,31st Jan 2007,8C/8C+,Babel,8c,31-01-2007,Boulder,worked,2007-01-31,2007.0,8c
Ryuichi Murai,17th Mar 2016,8C,Babel,8c,17-03-2016,Boulder,worked,2016-03-17,2016.0,8c
Shinichiro Nomura,24th May 2018,8C,Babel,8c,24-05-2018,Boulder,worked,2018-05-24,2018.0,8c
Takuya Nakajima,10th Mar 2021,8C,Babel,8c,10-03-2021,Boulder,worked,2021-10-03,2021.0,8c
Naoki Shimatani,25th May 2021,8C (soft),Babel,8c,25-05-2021,Boulder,worked,2021-05-25,2021.0,8c
Iain Farrar,,,Back Street Mime Artist,8a,,Boulder,worked,,,8a
Emma Flaherty,2016,,Back Street Mime Artist,8a,19-11-2016,Boulder,worked,2016-11-19,2016.0,8a
Gwyneth Uttley,2nd Nov 2021,,Back Street Mime Artist,8a,02-11-2021,Boulder,worked,2021-02-11,2021.0,8a
Vickie Fringe,,,Back Street Mime Artist,8a,,Boulder,worked,,,8a
Jo Allen,,,Back Street Mime Artist,8a,,Boulder,worked,,,8a
Charles Albert,,8C,Bélial,8b+,,Boulder,worked,,,8b+
Jimmy Webb,18th Jan 2019,,Bélial,8b+,18-01-2019,Boulder,worked,2019-01-18,2019.0,8b+
Thilo Schröter,15th Jan 2021,8B+,Bélial,8b+,15-01-2021,Boulder,worked,2021-01-15,2021.0,8b+
Nico Januel,6th Oct 2021,8C,Bélial,8b+,06-10-2021,Boulder,worked,2021-06-10,2021.0,8b+
Tim Reuser,21st Dec 2021,,Bélial,8b+,21-12-2021,Boulder,worked,2021-12-21,2021.0,8b+
Sébastien Bouin,26th May 2019,9a,Beyond,9a+,26-05-2019,Lead,worked,2019-05-26,2019.0,9a+
Sébastien Bouin,Between 26th May 2019 and 29th Aug 2023,9a+,Beyond,9a+,,Lead,repeat,,,9a+
Tanguy Merard,29th Aug 2023,9a+,Beyond,9a+,29-08-2023,Lead,worked,2023-08-29,2023.0,9a+
Sébastien Berthe,23rd Dec 2023,9a+ (soft),Beyond,9a+,23-12-2023,Lead,worked,2023-12-23,2023.0,9a+
Dylan Chuat,16th Apr 2024,9a+,Beyond,9a+,16-04-2024,Lead,worked,2024-04-16,2024.0,9a+
Alex Megos,5th Aug 2020,9b+,Bibliographie,9b+,05-08-2020,Lead,worked,2020-05-08,2020.0,9b+
Stefano Ghisolfi,24th Aug 2021,9b+,Bibliographie,9b+,24-08-2021,Lead,worked,2021-08-24,2021.0,9b+
Sean Bailey,25th Sep 2021,9b+,Bibliographie,9b+,25-09-2021,Lead,worked,2021-09-25,2021.0,9b+
Sébastien Bouin,3rd Jun 2023,9b+,Bibliographie,9b+,03-06-2023,Lead,worked,2023-03-06,2023.0,9b+
Jorge Díaz-Rullo,16th Oct 2023,,Bibliographie,9b+,16-10-2023,Lead,worked,2023-10-16,2023.0,9b+
Neil Carson,6th Dec 1996,,Big Bang,9a,06-12-1996,Lead,worked,1996-06-12,1996.0,9a
James McHaffie,Jul 2011,,Big Bang,9a,19-07-2011,Lead,worked,2011-07-19,2011.0,9a
Emma Twyford,17th Sep 2019,,Big Bang,9a,17-09-2019,Lead,worked,2019-09-17,2019.0,9a
Kieran Forrest,28th Aug 2020,,Big Bang,9a,28-08-2020,Lead,worked,2020-08-28,2020.0,9a
Nalle Hukkataival,24th Oct 2016,9A,Burden Of Dreams,9a,24-10-2016,Boulder,worked,2016-10-24,2016.0,9a
Will Bosi,12th Apr 2023,9A,Burden Of Dreams,9a,12-04-2023,Boulder,worked,2023-12-04,2023.0,9a
Simon Lorenzi,27th Dec 2023,9A,Burden Of Dreams,9a,27-12-2023,Boulder,worked,2023-12-27,2023.0,9a
Elias Iagnemma,26th Mar 2024,9A,Burden Of Dreams,9a,26-03-2024,Boulder,worked,2024-03-26,2024.0,9a
Pete Whittaker,Nov 2011,,Century Crack,e10,19-11-2011,Lead,worked,2011-11-19,2011.0,8b+
Tom Randall,Nov 2011,,Century Crack,e10,19-11-2011,Lead,worked,2011-11-19,2011.0,8b+
Danny Parker,2018,,Century Crack,e10,19-11-2018,Lead,worked,2018-11-19,2018.0,8b+
Fumiya Nakamura,4th Nov 2023,,Century Crack,e10,04-11-2023,Lead,worked,2023-04-11,2023.0,8b+
Adam Ondra,4th Oct 2012,9b+,Change,9b+,04-10-2012,Lead,worked,2012-04-10,2012.0,9b+
Stefano Ghisolfi,28th Sep 2020,9b+,Change,9b+,28-09-2020,Lead,worked,2020-09-28,2020.0,9b+
Sébastien Bouin,Aug 2022,9b/9b+,Change,9b+,19-08-2022,Lead,worked,2022-08-19,2022.0,9b+
Alex Megos,Aug 2024,9b/9b+,Change,9b+,19-08-2024,Lead,worked,2024-08-19,2024.0,9b+
Jorge Díaz-Rullo,Aug 2024,9b/9b+,Change,9b+,19-08-2024,Lead,worked,2024-08-19,2024.0,9b+
Jean-Pierre Bouvier,Apr 1981,,Chimpanzodrome,7c+,19-04-1981,Lead,worked,1981-04-19,1981.0,7c+
Jean Claude Droyer,1984,,Chimpanzodrome,7c+,19-11-1984,Lead,worked,1984-11-19,1984.0,7c+
Jerry Moffatt,18th Mar 1984,,Chimpanzodrome,7c+,18-03-1984,Lead,flash,1984-03-18,1984.0,7c+
Sébastien Bouin,2021,,Chimpanzodrome,7c+,19-11-2021,Lead,worked,2021-11-19,2021.0,7c+
Cédric Lachat,,,Chimpanzodrome,7c+,,Lead,onsight,,,7c+
Angelo Dimai,1933,,Comici Dimai,e3,19-11-1933,Aid,worked,1933-11-19,1933.0,6b+
Emilio Comici,1933,,Comici Dimai,e3,19-11-1933,Aid,worked,1933-11-19,1933.0,6b+
Giuseppe Dimai,1933,,Comici Dimai,e3,19-11-1933,Aid,worked,1933-11-19,1933.0,6b+
Allen Steck,1949,,Comici Dimai,e3,19-11-1949,Aid,,1949-11-19,1949.0,6b+
Karl Lugmayer,1949,,Comici Dimai,e3,19-11-1949,Aid,,1949-11-19,1949.0,6b+
Dean Potter,2003,,Concepción,e8,19-11-2003,Lead,worked,2003-11-19,2003.0,8a+
Steph Davis,2008,,Concepción,e8,19-11-2008,Lead,worked,2008-11-19,2008.0,8a+
Adam Ondra,2018,,Concepción,e8,19-11-2018,Lead,onsight,2018-11-19,2018.0,8a+
Hazel Findlay,2019,,Concepción,e8,19-11-2019,Lead,worked,2019-11-19,2019.0,8a+
Tom Randall,,,Concepción,e8,,Lead,worked,,,8a+
Dave Graham,31st Oct 2005,9a+,Coup De Grace,9a,31-10-2005,Lead,worked,2005-10-31,2005.0,9a
Gabriele Moroni,Apr 2011,9a,Coup De Grace,9a,19-04-2011,Lead,worked,2011-04-19,2011.0,9a
Sean Bailey,2019,,Coup De Grace,9a,19-11-2019,Lead,worked,2019-11-19,2019.0,9a
Keenan Takahashi,17th Mar 2020,,Coup De Grace,9a,17-03-2020,Lead,worked,2020-03-17,2020.0,9a
Dylan Chuat,2nd May 2021,,Coup De Grace,9a,02-05-2021,Lead,worked,2021-02-05,2021.0,9a
Pete Gomersall,19th Sep 1980,,Death Wish,e7,19-09-1980,Lead,worked,1980-09-19,1980.0,7c+
Phil Davidson,19th Sep 1982,,Death Wish,e7,19-09-1982,Lead,onsight,1982-09-19,1982.0,7c+
Mike Owen,19th Jul 1989,,Death Wish,e7,19-07-1989,Lead,onsight,1989-07-19,1989.0,7c+
Karin Magog,,,Death Wish,e7,,Lead,onsight,,,7c+
Toru  Nakajima,,,Decided,8b+,,Boulder,worked,,,8b+
Toshi Takeuchi,23rd Apr 2017,,Decided,8b+,23-04-2017,Boulder,worked,2017-04-23,2017.0,8b+
Ryuichi Murai,3rd Nov 2018,,Decided,8b+,03-11-2018,Boulder,worked,2018-03-11,2018.0,8b+
Tomoa Narasaki,1st Dec 2019,,Decided,8b+,01-12-2019,Boulder,flash,2019-01-12,2019.0,8b+
Katie Lamb,25th Oct 2023,,Decided,8b+,25-10-2023,Boulder,worked,2023-10-25,2023.0,8b+
Stefan Glowacz,1994,,Des Kaisers Neue Kleider,8b+,19-11-1994,Lead,worked,1994-11-19,1994.0,8b+
Ondřej Beneš,2009,,Des Kaisers Neue Kleider,8b+,19-11-2009,Lead,,2009-11-19,2009.0,8b+
Kilian Fischhuber,28th Sep 2009,,Des Kaisers Neue Kleider,8b+,28-09-2009,Lead,worked,2009-09-28,2009.0,8b+
Robbie Phillips,Aug 2019,,Des Kaisers Neue Kleider,8b+,19-08-2019,Lead,worked,2019-08-19,2019.0,8b+
Barbara Zangerl,,,Des Kaisers Neue Kleider,8b+,,Lead,worked,,,8b+
Daniel Woods,27th Feb 2010,8B+,Desperanza,8c,27-02-2010,Boulder,worked,2010-02-27,2010.0,8c
Taylor Parsons,Feb 2012,8B+/8C,Desperanza,8c,19-02-2012,Boulder,worked,2012-02-19,2012.0,8c
Sam Davis,20th Feb 2015,8B+ (hard),Desperanza,8c,20-02-2015,Boulder,worked,2015-02-20,2015.0,8c
Matt Fultz,13th Feb 2020,8C (soft),Desperanza,8c,13-02-2020,Boulder,worked,2020-02-13,2020.0,8c
Tristan Chen,3rd Dec 2023,8C,Desperanza,8c,03-12-2023,Boulder,worked,2023-03-12,2023.0,8c
Tom Patey,18th Jul 1966,,East Face Route,e1,18-07-1966,Alternate Leads,onsight,1966-07-18,1966.0,5c
Chris Bonington,18th Jul 1966,,East Face Route,e1,18-07-1966,Alternate Leads,onsight,1966-07-18,1966.0,5c
Robert Baillie,18th Jul 1966,,East Face Route,e1,18-07-1966,Alternate Leads,onsight,1966-07-18,1966.0,5c
Catherine Destivelle,1997,,East Face Route,e1,19-11-1997,Alternate Leads,,1997-11-19,1997.0,5c
Jesse Dufton,2019,,East Face Route,e1,19-11-2019,Lead,onsight,2019-11-19,2019.0,5c
David Fitzgerald,,,Echo Chamber,8b+,,Boulder,worked,,,8b+
Carlo Traversi,4th Jun 2023,,Echo Chamber,8b+,04-06-2023,Boulder,worked,2023-04-06,2023.0,8b+
Danny Seo,21st Oct 2023,,Echo Chamber,8b+,21-10-2023,Boulder,worked,2023-10-21,2023.0,8b+
Tristan Chen,26th Oct 2023,,Echo Chamber,8b+,26-10-2023,Boulder,worked,2023-10-26,2023.0,8b+
Katie Lamb,2024,,Echo Chamber,8b+,19-11-2024,Boulder,worked,2024-11-19,2024.0,8b+
Thomas Huber,2001,,El Corazon,8a,19-11-2001,Lead,worked,2001-11-19,2001.0,8a
Alex Huber,2001,,El Corazon,8a,19-11-2001,Alternate Leads,worked,2001-11-19,2001.0,8a
Liam Vance,5th Jul 2017,,El Corazon,8a,05-07-2017,Lead,worked,2017-05-07,2017.0,8a
Lara Neumeier,Nov 2023,,El Corazon,8a,19-11-2023,Lead,worked,2023-11-19,2023.0,8a
Barbara Zangerl,Nov 2023,,El Corazon,8a,19-11-2023,Lead,worked,2023-11-19,2023.0,8a
Jimmy Webb,29th Mar 2019,8C+ (soft),Ephyra,8c+,29-03-2019,Boulder,worked,2019-03-29,2019.0,8c+
Niccolò Ceria,Nov 2020,,Ephyra,8c+,19-11-2020,Boulder,worked,2020-11-19,2020.0,8c+
Giuliano Cameroni,16th Mar 2021,8C+ (soft),Ephyra,8c+,16-03-2021,Boulder,worked,2021-03-16,2021.0,8c+
Will Bosi,8th Nov 2022,8C/8C+,Ephyra,8c+,08-11-2022,Boulder,worked,2022-08-11,2022.0,8c+
Yannick Flohé,24th Jan 2023,8C+ (soft),Ephyra,8c+,24-01-2023,Boulder,worked,2023-01-24,2023.0,8c+
Jordan Buys,15th Sep 2014,,Epic Adventures,8c,15-09-2014,Lead,worked,2014-09-15,2014.0,8c
Alex Barrows,19th Aug 2015,,Epic Adventures,8c,19-08-2015,Lead,worked,2015-08-19,2015.0,8c
James Turnbull,2nd Aug 2017,,Epic Adventures,8c,02-08-2017,Lead,worked,2017-02-08,2017.0,8c
Matt Cooke,27th Apr 2024,,Epic Adventures,8c,27-04-2024,Lead,worked,2024-04-27,2024.0,8c
Anna Wild,27th Jun 2024,,Epic Adventures,8c,27-06-2024,Lead,worked,2024-06-27,2024.0,8c
Carlo Traversi,3rd Nov 2020,,Equanimity,8c,03-11-2020,Boulder,worked,2020-03-11,2020.0,8c
Jimmy Webb,Oct 2023,,Equanimity,8c,19-10-2023,Boulder,worked,2023-10-19,2023.0,8c
David Fitzgerald,Oct 2023,,Equanimity,8c,19-10-2023,Boulder,worked,2023-10-19,2023.0,8c
Katie Lamb,15th Aug 2024,,Equanimity,8c,15-08-2024,Boulder,worked,2024-08-15,2024.0,8c
Keenan Takahashi,15th Aug 2024,,Equanimity,8c,15-08-2024,Boulder,worked,2024-08-15,2024.0,8c
Thomas Huber,Between 11th Aug 2009 and 14th Aug 2009,,Eternal Flame,e8,,Alternate Leads,worked,,,8a+
Alex Huber,Between 11th Aug 2009 and 14th Aug 2009,,Eternal Flame,e8,,Alternate Leads,worked,,,8a+
Barbara Zangerl,Between 18th Jul 2022 and 23rd Jul 2022,,Eternal Flame,e8,,Lead,flash,,,8a+
Jacopo Larcher,Between 18th Jul 2022 and 23rd Jul 2022,,Eternal Flame,e8,,Lead,flash,,,8a+
Stefano Ragazzo,Between 17th Jul 2024 and 26th Jul 2024,,Eternal Flame,e8,,Rope Solo,worked,,,8a+
Jimmy Webb,Nov 2021,,Fallen Angel,8c,19-11-2021,Boulder,worked,2021-11-19,2021.0,8c
David Fitzgerald,2022,,Fallen Angel,8c,19-11-2022,Boulder,worked,2022-11-19,2022.0,8c
Keenan Takahashi,19th Oct 2024,,Fallen Angel,8c,19-10-2024,Boulder,worked,2024-10-19,2024.0,8c
Katie Lamb,Nov 2024,,Fallen Angel,8c,19-11-2024,Boulder,worked,2024-11-19,2024.0,8c
Shawn Raboutou,,,Fallen Angel,8c,,Boulder,worked,,,8c
Chris Sharma,19th Apr 2011,9b,"First Round, First Minute",9b,19-04-2011,Lead,worked,2011-04-19,2011.0,9b
Adam Ondra,3rd Feb 2014,9b,"First Round, First Minute",9b,03-02-2014,Lead,worked,2014-03-02,2014.0,9b
Alex Megos,31st Dec 2015,,"First Round, First Minute",9b,31-12-2015,Lead,worked,2015-12-31,2015.0,9b
Stefano Ghisolfi,30th Jan 2017,,"First Round, First Minute",9b,30-01-2017,Lead,worked,2017-01-30,2017.0,9b
Jorge Díaz-Rullo,29th Mar 2021,,"First Round, First Minute",9b,29-03-2021,Lead,worked,2021-03-29,2021.0,9b
Yuji Hirayama,Mar 2003,9a/9a+,Flat Mountain,9a,19-03-2003,Lead,worked,2003-03-19,2003.0,9a
Toru  Nakajima,Between 1st Jan 2003 and 1st Jan 2016,,Flat Mountain,9a,,Lead,worked,,,9a
Alex Megos,2015,,Flat Mountain,9a,19-11-2015,Lead,worked,2015-11-19,2015.0,9a
Sachi Amma,2016,,Flat Mountain,9a,19-11-2016,Lead,worked,2016-11-19,2016.0,9a
Sachi Amma,Mar 2024,,Flat Mountain,9a,19-03-2024,Lead,repeat,2024-03-19,2024.0,9a
Dan Varian,2018,,Flipnic,8b,19-11-2018,Boulder,worked,2018-11-19,2018.0,8b
Dan Turner,21st Nov 2021,,Flipnic,8b,21-11-2021,Boulder,worked,2021-11-21,2021.0,8b
Jack Palmieri,20th Dec 2021,,Flipnic,8b,20-12-2021,Boulder,worked,2021-12-20,2021.0,8b
Will Bosi,7th Mar 2022,8B/8B+,Flipnic,8b,07-03-2022,Boulder,worked,2022-07-03,2022.0,8b
Flinn Mcinerney,6th Jun 2024,,Flipnic,8b,06-06-2024,Boulder,worked,2024-06-06,2024.0,8b
Pietro Vidi,17th Apr 2024,8C+,Flow State,8c,17-04-2024,Boulder,worked,2024-04-17,2024.0,8c
Adam Ondra,27th Aug 2024,8C,Flow State,8c,27-08-2024,Boulder,worked,2024-08-27,2024.0,8c
Stefano Carnati,28th Sep 2024,8C,Flow State,8c,28-09-2024,Boulder,worked,2024-09-28,2024.0,8c
Giovanni Placci,31st Oct 2024,8C,Flow State,8c,31-10-2024,Boulder,worked,2024-10-31,2024.0,8c
Simone Mabboni,4th Nov 2024,,Flow State,8c,04-11-2024,Boulder,worked,2024-04-11,2024.0,8c
Shawn Raboutou,Jul 2021,,Fuck The System,8c+,19-07-2021,Boulder,worked,2021-07-19,2021.0,8c+
Dave Graham,25th Jun 2022,,Fuck The System,8c+,25-06-2022,Boulder,worked,2022-06-25,2022.0,8c+
Clément Lechaptois,15th Oct 2022,,Fuck The System,8c+,15-10-2022,Boulder,worked,2022-10-15,2022.0,8c+
Pietro Vidi,12th Jun 2024,,Fuck The System,8c+,12-06-2024,Boulder,worked,2024-12-06,2024.0,8c+
Sam Weir,28th Jun 2024,,Fuck The System,8c+,28-06-2024,Boulder,worked,2024-06-28,2024.0,8c+
Patxi Usobiaga,9th Dec 2007,,Fuck The System,9a,09-12-2007,Lead,worked,2007-09-12,2007.0,9a
Adam Ondra,6th Feb 2008,,Fuck The System,9a,06-02-2008,Lead,worked,2008-06-02,2008.0,9a
Dani Andrada,8th Mar 2008,,Fuck The System,9a,08-03-2008,Lead,worked,2008-08-03,2008.0,9a
Tom Bolger,26th Feb 2010,,Fuck The System,9a,26-02-2010,Lead,worked,2010-02-26,2010.0,9a
Nika Potapova,2nd Mar 2019,,Fuck The System,9a,02-03-2019,Lead,worked,2019-02-03,2019.0,9a
Dave Graham,30th Sep 2005,,General Disarray,8b,30-09-2005,Boulder,worked,2005-09-30,2005.0,8b
James Pearson,17th Nov 2007,,General Disarray,8b,17-11-2007,Boulder,worked,2007-11-17,2007.0,8b
Solly Kemball-Dorey,5th Mar 2024,,General Disarray,8b,05-03-2024,Boulder,worked,2024-05-03,2024.0,8b
Leo Skinner,6th Mar 2024,,General Disarray,8b,06-03-2024,Boulder,worked,2024-06-03,2024.0,8b
Martin Smith,,,General Disarray,8b,,Boulder,worked,,,8b
Nalle Hukkataival,2015,,Get Railed,8b+,19-11-2015,Boulder,worked,2015-11-19,2015.0,8b+
Billy Ridal,31st Jul 2023,,Get Railed,8b+,31-07-2023,Boulder,worked,2023-07-31,2023.0,8b+
Brian Nugent,,,Get Railed,8b+,,Boulder,worked,,,8b+
Ethan Pringle,,,Get Railed,8b+,,Boulder,worked,,,8b+
Thilo Schröter,,,Get Railed,8b+,,Boulder,worked,,,8b+
Dave Pegg,1990,,Gigantic,e8,19-11-1990,Lead,worked,1990-11-19,1990.0,8a+
John Gaskins,1991,,Gigantic,e8,19-11-1991,Lead,worked,1991-11-19,1991.0,8a+
Adam Lincoln,17th Mar 2010,,Gigantic,e8,17-03-2010,Lead,ground up,2010-03-17,2010.0,8a+
Paul Robins,21st Jun 2015,,Gigantic,e8,21-06-2015,Lead,worked,2015-06-21,2015.0,8a+
Matt Cooke,16th Sep 2023,,Gigantic,e8,16-09-2023,Lead,worked,2023-09-16,2023.0,8a+
Christian Core,Mar 2008,,Gioia,8c+,19-03-2008,Boulder,worked,2008-03-19,2008.0,8c+
Adam Ondra,6th Dec 2011,8C+,Gioia,8c+,06-12-2011,Boulder,worked,2011-06-12,2011.0,8c+
Nalle Hukkataival,Feb 2014,,Gioia,8c+,19-02-2014,Boulder,worked,2014-02-19,2014.0,8c+
Niccolò Ceria,Dec 2020,,Gioia,8c+,19-12-2020,Boulder,worked,2020-12-19,2020.0,8c+
Elias Iagnemma,13th Feb 2021,,Gioia,8c+,13-02-2021,Boulder,worked,2021-02-13,2021.0,8c+
Vadim Timonov,19th Jul 2023,8C,G Master,8c,19-07-2023,Boulder,worked,2023-07-19,2023.0,8c
Noah Wheeler,8th Aug 2023,8B+/8C,G Master,8c,08-08-2023,Boulder,worked,2023-08-08,2023.0,8c
Paul Robinson,2024,,G Master,8c,19-11-2024,Boulder,worked,2024-11-19,2024.0,8c
Naoki Shimatani,Jul 2024,,G Master,8c,19-07-2024,Boulder,worked,2024-07-19,2024.0,8c
Jake Scharfman,,,G Master,8c,,Boulder,worked,,,8c
Jonny Kydd,26th Aug 2016,,Godzilla Sds,8b,26-08-2016,Boulder,worked,2016-08-26,2016.0,8b
Sam Blackwell,5th May 2021,,Godzilla Sds,8b,05-05-2021,Boulder,worked,2021-05-05,2021.0,8b
Leo Skinner,2nd May 2022,,Godzilla Sds,8b,02-05-2022,Boulder,worked,2022-02-05,2022.0,8b
